date,cases_cumul,cases_hosp,cases_icu,deaths_cumul,cases_hcp,clusters_cumul,cases_female,cases_male,cases_gender_unknown,cases_below_1,cases_1_4,cases_under_5,cases_5_14,cases_15_24,cases_25_34,cases_35_44,cases_45_54,cases_55_64,cases_65_plus,cases_65_74,cases_75_84,cases_85_plus,cases_age_unknown,percent_comm_trns,percent_contact,percent_travel,cases_hcp_travel,cases_hcp_no_travel,cases_hcp_tbc,hosp_under_5,hosp_5_14,hosp_15_24,hosp_25_34,hosp_35_44,hosp_45_54,hosp_55_64,hosp_65_plus,hosp_65_74,hosp_75_84,hosp_85_plus,hosp_age_unknown,cases_carlow,cases_cavan,cases_clare,cases_cork,cases_donegal,cases_dublin,cases_galway,cases_kerry,cases_kildare,cases_kilkenny,cases_laois,cases_leitrim,cases_limerick,cases_longford,cases_louth,cases_mayo,cases_meath,cases_monaghan,cases_offaly,cases_roscommon,cases_sligo,cases_tipperary,cases_waterford,cases_westmeath,cases_wexford,cases_wicklow
26-Mar,1904,489,67,33,445,91,888,1010,6,4,10,14,25,136,358,353,368,271,373,NA,NA,NA,6,0.5,0.24,0.26,85,268,92,3,3,18,48,45,85,76,210,NA,NA,NA,0,<=5,11,31,184,15,1070,63,47,56,29,11,<=5,46,<=5,27,21,41,8,22,8,8,44,29,52,10,58
27-Mar,2216,564,77,43,506,103,1060,1140,16,4,11,15,29,155,408,416,432,314,441,NA,NA,NA,6,0.51,0.25,0.24,NA,NA,NA,3,3,19,52,51,98,88,249,NA,NA,NA,0,<=5,19,34,208,24,1233,68,53,61,33,14,<=5,55,10,34,26,46,11,29,10,12,53,31,67,12,65
28-Mar,2475,645,84,44,578,111,1206,1240,29,4,11,15,29,171,448,448,467,360,511,NA,NA,NA,67,0.5,0.27,0.23,NA,NA,NA,3,3,21,57,61,107,101,290,NA,NA,NA,0,<=5,24,34,217,36,1393,77,60,64,36,14,6,64,10,39,28,47,12,34,10,19,62,34,70,12,69
29-Mar,2677,703,113,64,674,118,1321,1320,36,6,11,17,30,178,477,503,504,398,563,NA,NA,NA,7,0.51,0.26,0.23,NA,NA,NA,4,3,22,61,66,116,108,321,NA,NA,NA,2,<=5,24,40,238,46,1487,86,66,66,36,15,6,67,10,44,36,54,13,34,10,19,71,33,77,15,73
30-Mar,2990,834,126,84,752,134,1494,1457,39,8,11,19,30,194,519,550,558,440,673,NA,NA,NA,7,0.6,0.21,0.19,NA,NA,NA,6,3,26,8.3,76,134,130,388,NA,NA,NA,2,<=5,36,45,255,63,1645,88,68,80,37,16,10,87,12,51,48,66,13,40,10,22,85,37,80,15,77
31-Mar,3282,932,134,91,841,160,1661,1572,49,8,11,19,30,216,564,617,608,480,739,NA,NA,NA,9,0.59,0.23,0.18,NA,NA,NA,6,4,29,77,85,152,145,432,NA,NA,NA,2,<=5,39,49,272,68,1838,91,72,90,37,16,12,94,14,52,52,74,17,46,10,25,91,38,81,16,84
01-Apr,3655,1039,148,113,948,171,1860,1752,43,8,12,20,30,235,618,685,690,537,831,NA,NA,NA,9,0.61,0.23,0.16,NA,NA,NA,6,4,32,81,94,163,160,497,NA,NA,NA,2,<=5,41,50,292,77,2077,98,79,103,47,16,12,96,16,54,55,88,17,47,13,26,94,43,86,18,105
02-Apr,4014,1118,158,131,1084,206,2080,1909,25,9,12,21,33,255,678,751,764,584,918,NA,NA,NA,10,0.62,0.23,0.15,NA,NA,NA,6,4,34,83,101,174,174,540,NA,NA,NA,2,6,67,54,304,80,2251,105,84,136,54,21,13,116,17,55,63,93,20,63,13,27,105,43,92,20,112
03-Apr,4443,1203,165,151,1163,236,2335,2072,36,11,32,43,35,270,748,808,830,647,1070,NA,NA,NA,11,0.63,0.24,0.13,NA,NA,NA,7,4,35,88,106,183,185,593,NA,NA,NA,2,12,76,54,343,81,2490,108,85,152,73,22,13,128,17,64,78,106,23,64,15,28,128,46,94,21,132
04-Apr,4916,1265,169,167,1263,260,2633,2235,48,11,13,24,36,287,820,902,907,697,1229,NA,NA,NA,14,0.65,0.23,0.12,NA,NA,NA,3,7,35,93,111,188,191,635,NA,NA,NA,2,12,115,60,362,103,2692,112,89,175,75,25,13,140,21,65,107,141,52,66,18,28,125,49,107,21,142
05-Apr,5593,1345,194,204,1388,270,2946,2594,53,12,18,30,39,347,948,1044,1048,794,1326,NA,NA,NA,17,0.67,0.22,0.11,NA,NA,NA,7,3,36,96,116,201,207,677,NA,NA,NA,2,12,123,65,421,114,3061,128,117,200,79,31,18,143,25,85,126,168,58,73,22,28,133,49,121,22,171
06-Apr,5981,1472,224,223,1568,299,3154,2757,70,12,18,30,42,364,1010,1111,1118,847,1442,NA,NA,NA,17,0.67,0.23,0.1,NA,NA,NA,7,4,37,102,127,224,230,739,NA,NA,NA,2,15,129,66,431,120,3268,134,122,233,88,34,20,160,35,96,130,183,62,77,22,28,137,52,134,24,181
07-Apr,6444,1521,230,257,1765,317,3425,2923,96,14,19,33,43,384,1103,1176,1219,922,1544,NA,NA,NA,20,0.67,0.24,0.09,NA,NA,NA,9,4,37,103,130,231,237,768,NA,NA,NA,2,16,132,68,472,125,3557,134,125,253,90,37,23,173,36,106,134,198,63,81,22,28,140,56,142,26,207
08-Apr,7071,1631,233,283,1949,333,3788,2923,72,16,20,36,45,423,1220,1304,1339,1015,1670,NA,NA,NA,19,0.66,0.25,0.09,NA,NA,NA,10,4,39,115,137,249,256,819,NA,NA,NA,2,19,151,69,503,145,3873,160,145,290,96,49,25,186,41,116,153,206,63,88,26,31,151,60,152,30,237
09-Apr,7787,1718,253,314,2141,356,4212,3489,86,18,22,40,52,473,1343,1418,1479,1138,1825,NA,NA,NA,19,0.66,0.26,0.08,NA,NA,NA,10,4,41,119,144,256,271,871,NA,NA,NA,2,22,169,85,581,167,4156,169,155,332,115,61,31,222,45,133,168,230,81,104,27,39,166,63,181,39,246
10-Apr,8496,1777,261,329,2312,383,4616,3783,97,18,27,45,56,528,1479,1558,1609,1251,1951,NA,NA,NA,19,0.67,0.26,0.07,NA,NA,NA,10,5,43,123,146,263,279,906,NA,NA,NA,2,32,210,88,648,188,4514,178,170,360,124,71,32,234,49,143,183,249,88,119,31,45,175,67,192,42,263
11-Apr,9484,1849,268,362,2489,401,5115,4225,144,19,29,48,67,598,1647,1757,1812,1411,2123,NA,NA,NA,21,0.66,0.27,0.07,NA,NA,NA,11,5,44,125,150,272,287,953,NA,NA,NA,2,38,222,98,730,225,5006,197,200,404,136,88,32,252,56,195,194,289,95,133,39,45,200,73,213,52,272
12-Apr,10385,1903,275,395,2707,408,5629,4617,139,22,34,56,81,674,1805,1927,1983,1522,2316,NA,NA,NA,21,0.66,0.27,0.07,NA,NA,NA,12,5,43,127,154,278,293,989,NA,NA,NA,2,44,245,106,780,264,5438,220,219,443,144,101,36,265,58,208,198,342,123,144,48,52,219,81,234,56,317
13-Apr,11261,1968,280,435,2872,413,6140,5021,100,25,36,61,96,737,1950,2084,2157,1637,2520,NA,NA,NA,19,0.52,0.42,0.06,NA,NA,NA,13,4,43,130,159,288,301,1028,NA,NA,NA,2,53,254,113,829,296,5850,237,226,509,164,118,40,285,69,236,216,369,147,150,50,62,237,90,258,61,342
14-Apr,12425,2026,284,480,2451,425,6778,5336,111,28,44,72,124,809,2145,2315,2395,1806,273,NA,NA,NA,20,0.51,0.43,0.06,NA,NA,NA,13,4,43,132,164,298,308,1062,NA,NA,NA,2,59,310,119,916,320,6337,260,246,567,173,133,43,307,77,350,249,405,161,163,57,66,251,101,309,71,375
15-Apr,13012,2082,294,521,2723,436,7117,5773,122,27,44,71,136,846,2231,2415,2500,1806,273,NA,NA,NA,20,0.52,0.42,0.06,NA,NA,NA,13,5,44,134,168,304,318,1094,NA,NA,NA,2,59,345,136,945,352,6567,266,254,621,179,139,46,343,79,384,259,421,166,171,61,69,270,102,318,76,384
16-Apr,13746,2168,296,566,3573,454,7568,6048,130,28,48,76,142,892,2329,2522,2659,2010,3094,NA,NA,NA,22,0.52,0.43,0.05,NA,NA,NA,13,6,47,135,177,314,330,1144,NA,NA,NA,2,69,353,151,979,369,6934,273,256,684,188,147,46,382,83,406,273,461,170,177,74,70,283,110,332,85,391
17-Apr,14602,2233,303,605,3788,472,8060,6397,145,28,50,78,154,953,2467,2659,2825,2122,3320,NA,NA,NA,24,0.63,0.32,0.05,NA,NA,NA,13,7,50,139,183,320,343,1176,NA,NA,NA,2,71,386,153,1028,376,7379,283,262,763,197,168,47,384,88,405,312,500,174,187,76,76,292,112,358,98,427
18-Apr,15185,2272,306,642,4009,478,8433,6603,149,30,54,84,161,1000,2557,2744,2943,2184,3488,NA,NA,NA,24,0.62,0.34,0.04,NA,NA,NA,13,7,50,143,188,322,349,1198,NA,NA,NA,2,78,401,160,1047,383,7666,294,268,817,206,170,49,401,91,437,332,513,187,190,91,78,300,113,369,100,444
19-Apr,15464,2323,315,719,4180,491,8595,6708,149,29,54,83,162,1009,2580,2781,2972,2207,3646,NA,NA,NA,24,0.6,0.35,0.05,NA,NA,NA,13,8,51,147,194,326,356,1226,NA,NA,NA,2,79,403,164,1053,392,7781,294,268,822,210,177,54,409,94,469,335,522,199,195,91,93,306,117,377,114,446
20-Apr,15871,2387,322,757,4393,507,8906,6909,56,28,58,86,169,1039,2635,2843,3039,2254,3782,NA,NA,NA,24,0.61,0.35,0.04,NA,NA,NA,13,8,52,150,198,330,366,1267,NA,NA,NA,3,80,430,165,1077,416,7905,309,268,851,216,185,55,415,101,489,339,539,220,198,91,97,320,119,386,137,463
